"No.","Ticker","Company","Sector","Industry","Market Cap","EPS Surprise","Short Interest","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (Week)","Performance (Month)","Change from Open","Volume","Price","Change"
208,"TWST","Twist Bioscience Corp","Healthcare","Diagnostics & Research",8210.62,-10.61%,14.11,0.00%,0.57%,1.13%,-11.78%,14.34%,-0.38%,901850,124.72,-3.10%
209,"BVN","Compania de Minas Buenaventura SA ADR","Basic Materials","Other Precious Metals & Mining",8601.11,-12.26%,4.06,0.00%,0.00%,0.00%,-3.47%,4.12%,-0.38%,397970,33.90,-2.50%
210,"ACHC","Acadia Healthcare Company Inc","Healthcare","Medical Care Facilities",2618.91,9.73%,20.95,0.00%,0.00%,0.00%,-1.47%,-8.43%,-0.39%,835044,28.13,-0.88%
211,"CDW","CDW Corp","Technology","Information Technology Services",19050.16,3.97%,8.27,0.00%,0.00%,0.00%,3.18%,7.33%,-0.41%,1291192,152.38,-1.00%
212,"SPCX","Space Exploration Technologies Corp","Industrials","Aerospace & Defense",2007839.66,60.82%,184.39,0.05%,0.06%,0.02%,4.56%,28.74%,-0.43%,49122393,147.95,-1.20%
213,"CYTK","Cytokinetics Inc","Healthcare","Biotechnology",10109.78,7.87%,16.32,0.73%,0.73%,0.73%,0.87%,-10.63%,-0.44%,1140923,72.72,-1.66%
214,"SN","SharkNinja Inc","Consumer Cyclical","Furnishings, Fixtures & Appliances",24424.31,13.45%,6.48,0.95%,1.20%,1.20%,-9.33%,-3.64%,-0.47%,1339839,173.38,-1.04%
215,"CLMT","Calumet Inc","Basic Materials","Specialty Chemicals",4670.03,-1717.21%,3.56,0.91%,0.56%,0.56%,11.27%,26.86%,-0.47%,573774,53.13,-0.69%
216,"CRSP","CRISPR Therapeutics AG","Healthcare","Biotechnology",5394.48,21.31%,18.74,0.00%,-0.70%,-0.64%,-3.34%,8.04%,-0.48%,904292,55.79,-1.24%
217,"IMVT","Immunovant Inc","Healthcare","Biotechnology",8107.19,-19.26%,16.98,0.00%,0.00%,0.00%,-4.73%,-1.23%,-0.48%,765742,39.25,0.33%
218,"GFI","Gold Fields Ltd ADR","Basic Materials","Gold",42423.95,-10.83%,6.23,0.00%,0.06%,0.06%,3.13%,26.94%,-0.48%,4362382,47.40,-1.58%
219,"NAVN","Navan Inc","Technology","Software - Application",7065.32,1438.46%,9.52,0.00%,0.00%,0.00%,-2.53%,-0.29%,-0.50%,1486163,27.78,0.25%
220,"HP","Helmerich & Payne Inc","Energy","Oil & Gas Drilling",4433.29,-216.03%,8.25,0.00%,0.00%,0.00%,4.25%,19.67%,-0.52%,863931,44.36,-1.47%
221,"TGTX","TG Therapeutics Inc","Healthcare","Biotechnology",8569.57,-83.64%,30.11,0.71%,0.71%,-0.00%,3.81%,12.99%,-0.56%,992966,55.99,-1.28%
222,"NCNO","Ncino Inc","Technology","Software - Application",2444.62,18.13%,18.28,0.00%,0.00%,2.32%,0.57%,21.75%,-0.60%,1936710,23.12,-2.16%
223,"ELVN","Enliven Therapeutics Inc","Healthcare","Biotechnology",4346.42,-26.55%,8.26,0.00%,0.00%,0.00%,2.52%,-1.58%,-0.62%,1113062,59.32,-0.55%
224,"VRNS","Varonis Systems Inc","Technology","Software - Infrastructure",5293.92,406.33%,8.24,0.00%,0.00%,0.00%,4.94%,8.60%,-0.63%,2038450,46.09,-0.90%
225,"PBR","Petroleo Brasileiro SA Petrobras ADR","Energy","Oil & Gas Integrated",74868.74,14.20%,36.85,0.00%,0.00%,0.00%,8.58%,8.64%,-0.64%,18781000,20.12,-1.90%
226,"FIVN","Five9 Inc","Technology","Software - Infrastructure",2486.05,2.74%,11.33,0.00%,0.00%,0.03%,-2.29%,17.27%,-0.66%,1900133,33.27,-2.43%
227,"QCOM","Qualcomm Inc","Technology","Semiconductors",177216.47,-1.02%,33.27,0.12%,0.06%,0.07%,2.77%,5.21%,-0.73%,8537131,168.74,0.10%
228,"SON","Sonoco Products Co","Consumer Cyclical","Packaging & Containers",5136.56,2.23%,10.73,0.00%,0.00%,0.00%,-8.00%,-8.97%,-0.76%,1400202,51.95,-1.40%
229,"GEV","GE Vernova Inc","Industrials","Specialty Industrial Machinery",250872.93,-22.13%,7.94,0.01%,0.06%,-0.01%,3.29%,-5.83%,-0.85%,1238019,941.95,0.01%
230,"QURE","uniQure NV","Healthcare","Biotechnology",3086.81,-48.36%,10.77,-0.56%,-0.56%,-0.56%,-8.66%,-1.90%,-0.91%,991475,44.50,-0.80%
231,"ZLAB","Zai Lab Limited ADR","Healthcare","Biotechnology",2959.01,26.41%,7.47,0.00%,0.00%,0.00%,0.58%,25.62%,-0.94%,812771,26.23,-2.85%
232,"GDDY","Godaddy Inc","Technology","Software - Infrastructure",12830.68,8.01%,5.41,0.00%,-0.31%,-0.31%,3.69%,12.13%,-0.96%,1622494,101.31,-2.24%
233,"MTCH","Match Group Inc","Communication Services","Internet Content & Information",27500.33,7.16%,11.31,0.00%,0.00%,0.00%,0.67%,14.34%,-0.97%,1883848,41.86,-1.34%
234,"OMC","Omnicom Group Inc","Communication Services","Advertising Agencies",22666.47,-0.66%,25.39,0.00%,0.00%,0.00%,-6.41%,0.13%,-1.07%,2722368,82.62,-2.49%
235,"BG","Bunge Global SA","Consumer Defensive","Farm Products",22806.46,1.71%,6.25,0.00%,0.00%,0.00%,2.80%,8.91%,-1.11%,1175034,118.71,-1.17%
236,"NET","Cloudflare Inc","Technology","Software - Infrastructure",99317.76,8.05%,7.43,-0.01%,0.22%,0.00%,-6.98%,-1.94%,-1.18%,1808939,278.92,-1.96%
237,"BOX","Box Inc","Technology","Software - Infrastructure",4828.09,0.48%,15.59,0.00%,0.00%,0.00%,0.60%,10.49%,-1.21%,1659007,35.19,-2.14%
238,"PTRN","Pattern Group Inc","Technology","Software - Application",3583.46,26.48%,6.88,0.00%,0.00%,0.00%,-4.58%,-8.56%,-1.22%,903436,20.20,-1.89%
239,"MGNI","Magnite Inc","Communication Services","Advertising Agencies",3462.26,7.04%,11.18,0.00%,0.00%,-0.78%,1.86%,-0.74%,-1.23%,1944244,24.14,-1.99%
240,"DYN","Dyne Therapeutics Inc","Healthcare","Biotechnology",4534.20,-44.23%,21.46,0.00%,0.00%,0.00%,-3.15%,-6.18%,-1.26%,1588059,24.28,-2.69%
241,"FSLY","Fastly Inc","Technology","Software - Application",3279.99,127.62%,21.44,0.00%,0.10%,0.00%,-10.63%,-9.22%,-1.29%,2422124,20.59,-2.51%
242,"SSRM","SSR Mining Inc","Basic Materials","Gold",7575.23,-1.68%,9.33,1.59%,1.59%,0.88%,-0.38%,29.13%,-1.35%,2534211,37.15,-4.47%
243,"SE","Sea Ltd ADR","Consumer Cyclical","Internet Retail",63550.54,5.02%,11.12,0.62%,0.67%,0.60%,-6.09%,0.98%,-1.36%,3575486,112.09,-0.89%
244,"EXPE","Expedia Group Inc","Consumer Cyclical","Travel Services",35770.43,10.40%,5.57,0.00%,-0.28%,-0.07%,-9.53%,-2.78%,-1.38%,1845844,298.04,-1.68%
245,"BRKR","Bruker Corp","Healthcare","Medical Devices",8913.02,27.34%,11.79,0.00%,0.00%,0.00%,2.49%,14.10%,-1.38%,1334184,58.50,-1.53%
246,"NOW","ServiceNow Inc","Technology","Software - Application",146062.83,4.40%,29.20,0.03%,0.10%,0.08%,-2.38%,20.37%,-1.43%,12505105,141.26,-2.97%
247,"LYB","LyondellBasell Industries NV","Basic Materials","Specialty Chemicals",20519.37,25.14%,12.63,1.07%,1.07%,0.00%,-0.24%,3.39%,-1.46%,2589886,63.52,-1.91%
248,"CF","CF Industries Holdings Inc","Basic Materials","Agricultural Inputs",20180.94,-15.67%,9.23,0.00%,-0.60%,-0.68%,6.01%,14.24%,-1.54%,2663517,133.35,-3.24%
249,"STLD","Steel Dynamics Inc","Basic Materials","Steel",34694.00,1.78%,3.90,-1.37%,-1.37%,0.00%,3.15%,-7.43%,-1.55%,1177839,242.06,-1.61%
250,"CRM","Salesforce Inc","Technology","Software - Application",213346.30,80.49%,26.50,-0.03%,0.03%,-0.11%,1.26%,38.80%,-1.57%,10498299,259.23,-1.97%
251,"VEEV","Veeva Systems Inc","Healthcare","Health Information Services",44539.50,5.49%,5.84,-0.05%,-0.11%,-0.07%,-0.58%,26.30%,-1.60%,1152410,275.09,-3.27%
252,"HTFL","Heartflow Inc","Healthcare","Health Information Services",4252.90,47.64%,6.78,0.00%,-0.09%,-0.09%,2.37%,79.88%,-1.67%,1407076,48.91,-1.61%
253,"JAN","Janus Living Inc","Real Estate","REIT - Residential",9479.96,85.19%,7.41,0.00%,0.00%,0.00%,0.95%,3.70%,-1.72%,873599,30.79,-1.60%
254,"MUR","Murphy Oil Corp","Energy","Oil & Gas E&P",5224.81,-1.11%,10.86,0.00%,0.00%,0.00%,2.27%,10.29%,-1.75%,1514313,36.44,-2.36%
255,"BRZE","Braze Inc","Technology","Software - Application",3599.71,-3.94%,13.80,-0.04%,0.34%,0.37%,-7.44%,24.31%,-1.76%,2068790,31.96,-3.88%
256,"DUOL","Duolingo Inc","Technology","Software - Application",7226.57,9.31%,7.09,-0.12%,-0.30%,-0.53%,5.09%,26.01%,-1.91%,1056458,154.46,-2.75%
257,"FLR","Fluor Corp","Industrials","Engineering & Construction",7510.90,29.81%,9.51,0.00%,-0.09%,-0.09%,5.43%,15.20%,-1.97%,2251959,56.16,-2.33%
258,"BILL","BILL Holdings Inc","Technology","Software - Application",4192.21,18.66%,10.55,0.00%,0.00%,1.78%,-2.29%,4.60%,-2.32%,1209622,49.16,-3.34%
259,"MMED","MiniMed Group Inc","Healthcare","Medical Instruments & Supplies",6551.23,-356.07%,5.90,0.00%,0.00%,0.00%,15.85%,26.41%,-2.33%,1719503,23.28,-2.33%
260,"FROG","JFrog Ltd","Technology","Software - Application",10801.20,12.27%,8.47,0.03%,0.03%,0.29%,-11.28%,5.49%,-2.40%,1661140,87.60,-3.32%
261,"RELY","Remitly Global Inc","Technology","Software - Infrastructure",5539.77,651.21%,14.41,0.00%,-0.30%,-0.30%,-1.43%,0.93%,-2.42%,2154045,26.17,-2.79%
262,"PCOR","Procore Technologies Inc","Technology","Software - Application",8814.93,12.82%,15.73,0.00%,0.00%,0.00%,-8.96%,4.11%,-2.50%,3048451,58.01,-4.26%
263,"SPOT","Spotify Technology SA","Communication Services","Internet Content & Information",111676.76,-5.83%,4.93,-0.87%,-0.33%,-0.08%,-0.93%,14.18%,-2.53%,1370547,542.43,-3.16%
264,"MDB","MongoDB Inc","Technology","Software - Infrastructure",29704.35,17.62%,2.84,0.07%,-0.07%,-0.04%,-17.44%,-0.34%,-2.54%,2069730,368.74,-4.09%
265,"RNG","RingCentral Inc","Technology","Software - Application",6128.52,4.76%,7.06,-0.81%,-0.81%,-0.81%,5.78%,18.72%,-2.60%,1150920,73.39,-3.89%
266,"TWLO","Twilio Inc","Technology","Software - Infrastructure",35779.96,11.06%,4.21,0.00%,0.48%,0.36%,-2.02%,20.59%,-2.73%,1475709,232.98,-3.12%
267,"HRB","H&R Block Inc","Consumer Cyclical","Personal Services",6047.43,7.69%,17.84,0.88%,0.88%,0.14%,-6.52%,6.77%,-2.91%,1251313,49.06,-3.99%
268,"GWRE","Guidewire Software Inc","Technology","Software - Application",13522.50,6.10%,4.65,0.21%,0.30%,0.54%,-21.10%,1.49%,-3.06%,4710820,162.42,-19.93%
269,"NE","Noble Corp Plc","Energy","Oil & Gas Drilling",7281.28,-93.48%,14.90,0.00%,0.00%,0.00%,-0.33%,12.09%,-3.08%,1129153,45.61,-2.10%
270,"PLTR","Palantir Technologies Inc","Technology","Software - Infrastructure",418931.23,18.98%,68.28,-0.05%,-0.04%,-0.03%,-6.42%,11.81%,-3.16%,27963048,174.33,-4.49%
271,"IT","Gartner Inc","Technology","Information Technology Services",11772.23,16.28%,7.32,0.00%,0.00%,0.00%,-6.03%,0.87%,-3.25%,839563,186.42,-4.62%
272,"HPE","Hewlett Packard Enterprise Co","Technology","Communication Equipment",69028.17,19.15%,59.57,-0.10%,-0.02%,0.00%,-0.59%,-0.82%,-3.44%,30210363,52.00,-4.48%
273,"ESTC","Elastic N.V","Technology","Software - Application",9639.25,19.84%,6.34,1.10%,0.91%,1.12%,-8.11%,31.25%,-3.50%,1957303,91.81,-4.49%
