No.,Ticker,Company,Sector,Industry
640,HOOD,Robinhood Markets Inc,Financial,Capital Markets
641,HP,"Helmerich & Payne, Inc",Energy,Oil & Gas Drilling
642,HPE,Hewlett Packard Enterprise Co,Technology,Communication Equipment
643,HPQ,HP Inc,Technology,Computer Hardware
644,HQY,Healthequity Inc,Healthcare,Health Information Services
645,HR,Healthcare Realty Trust Inc,Real Estate,REIT - Healthcare Facilities
646,HRB,H&R Block Inc,Consumer Cyclical,Personal Services
647,HRL,Hormel Foods Corp,Consumer Defensive,Packaged Foods
648,HSAI,Hesai Group ADR,Consumer Cyclical,Auto Parts
649,HSBC,HSBC Holdings plc ADR,Financial,Banks - Diversified
650,HSIC,Henry Schein Inc,Healthcare,Medical Distribution
651,HST,Host Hotels & Resorts Inc,Real Estate,REIT - Hotel & Motel
652,HSY,Hershey Company,Consumer Defensive,Confectioners
653,HTGC,Hercules Capital Inc,Financial,Asset Management
654,HTHT,H World Group Limited ADR,Consumer Cyclical,Lodging
655,HUBG,"Hub Group, Inc",Industrials,Integrated Freight & Logistics
656,HUBS,HubSpot Inc,Technology,Software - Application
657,HUM,Humana Inc,Healthcare,Healthcare Plans
658,HUN,Huntsman Corp,Basic Materials,Chemicals
659,HUT,Hut 8 Corp,Financial,Capital Markets
660,HWC,Hancock Whitney Corp,Financial,Banks - Regional
661,HWM,Howmet Aerospace Inc,Industrials,Aerospace & Defense
662,HXL,Hexcel Corp,Industrials,Aerospace & Defense
663,HYMC,Hycroft Mining Holding Corporation,Basic Materials,Gold
664,IAC,IAC Inc,Communication Services,Internet Content & Information
665,IAG,Iamgold Corp,Basic Materials,Gold
666,IBKR,Interactive Brokers Group Inc,Financial,Capital Markets
667,IBM,International Business Machines Corp,Technology,Information Technology Services
668,IBN,ICICI Bank Ltd. ADR,Financial,Banks - Regional
669,IBRX,ImmunityBio Inc,Healthcare,Biotechnology
670,ICE,Intercontinental Exchange Inc,Financial,Financial Data & Stock Exchanges
671,ICL,ICL Group Ltd,Basic Materials,Agricultural Inputs
672,ICLR,Icon Plc,Healthcare,Diagnostics & Research
673,IDYA,Ideaya Biosciences Inc,Healthcare,Biotechnology
674,IEP,Icahn Enterprises L P,Energy,Oil & Gas Refining & Marketing
675,IEX,Idex Corporation,Industrials,Specialty Industrial Machinery
676,IFF,International Flavors & Fragrances Inc,Basic Materials,Specialty Chemicals
677,IHS,IHS Holding Ltd,Real Estate,Real Estate Services
678,ILMN,Illumina Inc,Healthcare,Diagnostics & Research
679,IMAX,Imax Corp,Communication Services,Entertainment
680,IMNM,Immunome Inc,Healthcare,Biotechnology
681,IMVT,Immunovant Inc,Healthcare,Biotechnology
682,INCY,Incyte Corp,Healthcare,Biotechnology
683,INDV,Indivior Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic
684,INFQ,Infleqtion Inc,Technology,Software - Infrastructure
685,INFY,Infosys Ltd ADR,Technology,Information Technology Services
686,ING,ING Groep N.V. ADR,Financial,Banks - Diversified
687,INSM,Insmed Inc,Healthcare,Biotechnology
688,INTA,Intapp Inc,Technology,Software - Application
689,INTC,Intel Corp,Technology,Semiconductors
690,INTR,Inter & Co Inc,Financial,Banks - Regional
691,INTU,Intuit Inc,Technology,Software - Application
692,INVH,Invitation Homes Inc,Real Estate,REIT - Residential
693,IONQ,IonQ Inc,Technology,Computer Hardware
694,IONS,Ionis Pharmaceuticals Inc,Healthcare,Biotechnology
695,IOT,Samsara Inc,Technology,Software - Infrastructure
696,IP,International Paper Co,Consumer Cyclical,Packaging & Containers
697,IQV,IQVIA Holdings Inc,Healthcare,Diagnostics & Research
698,IR,Ingersoll-Rand Inc,Industrials,Specialty Industrial Machinery
699,IRDM,Iridium Communications Inc,Communication Services,Telecom Services
700,IREN,IREN Ltd,Financial,Capital Markets
701,IRM,Iron Mountain Inc,Real Estate,REIT - Specialty
702,IRT,Independence Realty Trust Inc,Real Estate,REIT - Residential
703,ISRG,Intuitive Surgical Inc,Healthcare,Medical Instruments & Supplies
704,IT,"Gartner, Inc",Technology,Information Technology Services
705,ITGR,Integer Holdings Corp,Healthcare,Medical Devices
706,ITRI,Itron Inc,Technology,Scientific & Technical Instruments
707,ITT,ITT Inc,Industrials,Specialty Industrial Machinery
708,ITUB,Itau Unibanco Holding S.A. ADR,Financial,Banks - Regional
709,ITW,"Illinois Tool Works, Inc",Industrials,Specialty Industrial Machinery
710,IVZ,Invesco Ltd,Financial,Asset Management
711,J,Jacobs Solutions Inc,Industrials,Engineering & Construction
712,JAZZ,Jazz Pharmaceuticals plc,Healthcare,Biotechnology
713,JBHT,"J.B. Hunt Transport Services, Inc",Industrials,Integrated Freight & Logistics
714,JBL,Jabil Inc,Technology,Electronic Components
715,JBS,JBS N.V,Consumer Defensive,Packaged Foods
716,JCI,Johnson Controls International plc,Industrials,Building Products & Equipment
717,JD,JD.com Inc ADR,Consumer Cyclical,Internet Retail
718,JEF,Jefferies Financial Group Inc,Financial,Capital Markets
719,JHG,Janus Henderson Group plc,Financial,Asset Management
720,JHX,James Hardie Industries plc,Basic Materials,Building Materials
721,JKHY,"Jack Henry & Associates, Inc",Technology,Information Technology Services
722,JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General
723,JOBY,Joby Aviation Inc,Industrials,Airports & Air Services
