No.,Ticker,Company,Sector,Industry
960,ONON,On Holding AG,Consumer Cyclical,Footwear & Accessories
961,ONTO,Onto Innovation Inc,Technology,Semiconductor Equipment & Materials
962,OPCH,Option Care Health Inc,Healthcare,Medical Care Facilities
963,OPEN,Opendoor Technologies Inc,Real Estate,Real Estate Services
964,OPLN,Openlane Inc,Consumer Cyclical,Auto & Truck Dealerships
965,OR,OR Royalties Inc,Basic Materials,Gold
966,ORCL,Oracle Corp,Technology,Software - Infrastructure
967,ORI,Old Republic International Corp,Financial,Insurance - Property & Casualty
968,ORLA,Orla Mining Ltd,Basic Materials,Gold
969,ORLY,"O'Reilly Automotive, Inc",Consumer Cyclical,Auto Parts
970,OS,OneStream Inc,Technology,Software - Infrastructure
971,OSCR,Oscar Health Inc,Healthcare,Healthcare Plans
972,OSK,Oshkosh Corp,Industrials,Farm & Heavy Construction Machinery
973,OSW,OneSpaWorld Holdings Limited,Consumer Cyclical,Leisure
974,OTEX,Open Text Corp,Technology,Software - Application
975,OTF,Blue Owl Technology Finance Corp,Financial,Asset Management
976,OTIS,Otis Worldwide Corp,Industrials,Specialty Industrial Machinery
977,OUT,Outfront Media Inc,Real Estate,REIT - Specialty
978,OVV,Ovintiv Inc,Energy,Oil & Gas E&P
979,OWL,Blue Owl Capital Inc,Financial,Asset Management
980,OXY,Occidental Petroleum Corp,Energy,Oil & Gas E&P
981,OZK,Bank OZK,Financial,Banks - Regional
982,PAA,Plains All American Pipeline LP,Energy,Oil & Gas Midstream
983,PAAS,Pan American Silver Corp,Basic Materials,Gold
984,PACS,PACS Group Inc,Healthcare,Medical Care Facilities
985,PAGP,Plains GP Holdings LP,Energy,Oil & Gas Midstream
986,PAGS,PagSeguro Digital Ltd,Technology,Software - Infrastructure
987,PANW,Palo Alto Networks Inc,Technology,Software - Infrastructure
988,PARR,Par Pacific Holdings Inc,Energy,Oil & Gas Refining & Marketing
989,PATH,UiPath Inc,Technology,Software - Infrastructure
990,PAY,Paymentus Holdings Inc,Technology,Software - Infrastructure
991,PAYC,Paycom Software Inc,Technology,Software - Application
992,PAYP,PayPay Corp ADR,Technology,Software - Infrastructure
993,PAYX,Paychex Inc,Technology,Software - Application
994,PB,Prosperity Bancshares Inc,Financial,Banks - Regional
995,PBA,Pembina Pipeline Corporation,Energy,Oil & Gas Midstream
996,PBF,PBF Energy Inc,Energy,Oil & Gas Refining & Marketing
997,PBR,Petroleo Brasileiro S.A. Petrobras ADR,Energy,Oil & Gas Integrated
998,PBR-A,Petroleo Brasileiro S.A. Petrobras ADR,Energy,Oil & Gas Integrated
999,PCAR,Paccar Inc,Industrials,Farm & Heavy Construction Machinery
1000,PCG,PG&E Corp,Utilities,Utilities - Regulated Electric
1001,PCOR,Procore Technologies Inc,Technology,Software - Application
1002,PCTY,Paylocity Holding Corp,Technology,Software - Application
1003,PCVX,Vaxcyte Inc,Healthcare,Biotechnology
1004,PDD,PDD Holdings Inc ADR,Consumer Cyclical,Internet Retail
1005,PDI,PIMCO Dynamic Income Fund,Financial,Closed-End Fund - Debt
1006,PECO,Phillips Edison & Company Inc,Real Estate,REIT - Retail
1007,PEG,Public Service Enterprise Group Inc,Utilities,Utilities - Regulated Electric
1008,PEGA,Pegasystems Inc,Technology,Software - Application
1009,PEN,Penumbra Inc,Healthcare,Medical Devices
1010,PEP,PepsiCo Inc,Consumer Defensive,Beverages - Non-Alcoholic
1011,PFE,Pfizer Inc,Healthcare,Drug Manufacturers - General
1012,PFG,Principal Financial Group Inc,Financial,Asset Management
1013,PFGC,Performance Food Group Company,Consumer Defensive,Food Distribution
1014,PFS,Provident Financial Services Inc,Financial,Banks - Regional
1015,PFSI,PennyMac Financial Services Inc,Financial,Mortgage Finance
1016,PG,Procter & Gamble Co,Consumer Defensive,Household & Personal Products
1017,PGR,Progressive Corp,Financial,Insurance - Property & Casualty
1018,PHG,Koninklijke Philips N.V. ADR,Healthcare,Medical Devices
1019,PHM,PulteGroup Inc,Consumer Cyclical,Residential Construction
1020,PHYS,Sprott Physical Gold Trust,Financial,Asset Management
1021,PI,Impinj Inc,Technology,Semiconductors
1022,PII,Polaris Inc,Consumer Cyclical,Recreational Vehicles
1023,PINS,Pinterest Inc,Communication Services,Internet Content & Information
1024,PK,Park Hotels & Resorts Inc,Real Estate,REIT - Hotel & Motel
1025,PKG,Packaging Corp Of America,Consumer Cyclical,Packaging & Containers
1026,PL,Planet Labs PBC,Industrials,Aerospace & Defense
1027,PLAB,"Photronics, Inc",Technology,Semiconductor Equipment & Materials
1028,PLD,Prologis Inc,Real Estate,REIT - Industrial
1029,PLNT,Planet Fitness Inc,Consumer Cyclical,Leisure
1030,PLTR,Palantir Technologies Inc,Technology,Software - Infrastructure
1031,PLUG,Plug Power Inc,Industrials,Electrical Equipment & Parts
1032,PM,Philip Morris International Inc,Consumer Defensive,Tobacco
1033,PNC,PNC Financial Services Group Inc,Financial,Banks - Regional
1034,PNFP,Pinnacle Financial Partners Inc,Financial,Banks - Regional
1035,PNR,Pentair plc,Industrials,Specialty Industrial Machinery
1036,PNW,Pinnacle West Capital Corp,Utilities,Utilities - Regulated Electric
1037,PODD,Insulet Corporation,Healthcare,Medical Devices
1038,PONY,Pony AI Inc. ADR,Technology,Information Technology Services
1039,POOL,Pool Corporation,Industrials,Industrial Distribution
1040,POR,Portland General Electric Co,Utilities,Utilities - Regulated Electric
1041,POST,Post Holdings Inc,Consumer Defensive,Packaged Foods
1042,POWI,Power Integrations Inc,Technology,Semiconductors
1043,PPC,Pilgrim's Pride Corp,Consumer Defensive,Packaged Foods
1044,PPG,"PPG Industries, Inc",Basic Materials,Specialty Chemicals
1045,PPL,PPL Corp,Utilities,Utilities - Regulated Electric
1046,PPLC,PPL Corp,Utilities,Utilities - Regulated Electric
1047,PPTA,Perpetua Resources Corp,Basic Materials,Other Precious Metals & Mining
1048,PR,Permian Resources Holdings Inc,Energy,Oil & Gas E&P
1049,PRIM,Primoris Services Corp,Industrials,Engineering & Construction
1050,PRM,Perimeter Solutions Inc,Basic Materials,Specialty Chemicals
1051,PRMB,Primo Brands Corp,Consumer Defensive,Beverages - Non-Alcoholic
1052,PRU,Prudential Financial Inc,Financial,Insurance - Life
1053,PRVA,Privia Health Group Inc,Healthcare,Health Information Services
1054,PSA,Public Storage,Real Estate,REIT - Industrial
1055,PSKY,Paramount Skydance Corp,Communication Services,Entertainment
1056,PSLV,Sprott Physical Silver Trust,Financial,Asset Management
1057,PSN,Parsons Corp,Technology,Information Technology Services
1058,PSO,Pearson plc ADR,Communication Services,Publishing
1059,PSTG,Everpure Inc,Technology,Computer Hardware
1060,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing
1061,PTC,PTC Inc,Technology,Software - Application
1062,PTCT,PTC Therapeutics Inc,Healthcare,Biotechnology
1063,PTEN,Patterson-UTI Energy Inc,Energy,Oil & Gas Drilling
1064,PTGX,Protagonist Therapeutics Inc,Healthcare,Biotechnology
1065,PTRN,Pattern Group Inc,Technology,Software - Application
1066,PTY,PIMCO Corporate & Income Opportunity Fund,Financial,Closed-End Fund - Debt
1067,PUK,Prudential plc ADR,Financial,Insurance - Life
1068,PVH,PVH Corp,Consumer Cyclical,Apparel Manufacturing
1069,PWR,"Quanta Services, Inc",Industrials,Engineering & Construction
1070,PYPL,PayPal Holdings Inc,Financial,Credit Services
1071,Q,Qnity Electronics Inc,Technology,Semiconductor Equipment & Materials
1072,QBTS,D-Wave Quantum Inc,Technology,Computer Hardware
1073,QCOM,"Qualcomm, Inc",Technology,Semiconductors
1074,QGEN,Qiagen NV,Healthcare,Diagnostics & Research
1075,QRVO,Qorvo Inc,Technology,Semiconductors
1076,QS,QuantumScape Corp,Consumer Cyclical,Auto Parts
1077,QSR,Restaurant Brands International Inc,Consumer Cyclical,Restaurants
1078,QTWO,Q2 Holdings Inc,Technology,Software - Application
1079,QXO,QXO Inc,Industrials,Industrial Distribution
1080,RAL,Ralliant Corp,Technology,Electronic Components
1081,RARE,Ultragenyx Pharmaceutical Inc,Healthcare,Biotechnology
1082,RBA,RB Global Inc,Industrials,Specialty Business Services
1083,RBLX,Roblox Corporation,Communication Services,Electronic Gaming & Multimedia
1084,RBRK,Rubrik Inc,Technology,Software - Infrastructure
1085,RCI,Rogers Communications Inc,Communication Services,Telecom Services
1086,RCL,Royal Caribbean Group,Consumer Cyclical,Travel Services
1087,RCUS,Arcus Biosciences Inc,Healthcare,Biotechnology
1088,RDDT,Reddit Inc,Communication Services,Internet Content & Information
1089,RDN,"Radian Group, Inc",Financial,Insurance - Specialty
1090,RDNT,Radnet Inc,Healthcare,Diagnostics & Research
1091,RDY,Dr. Reddy's Laboratories Ltd. ADR,Healthcare,Drug Manufacturers - Specialty & Generic
1092,REG,Regency Centers Corporation,Real Estate,REIT - Retail
1093,REGN,"Regeneron Pharmaceuticals, Inc",Healthcare,Biotechnology
1094,RELX,RELX Plc ADR,Industrials,Specialty Business Services
1095,RELY,Remitly Global Inc,Technology,Software - Infrastructure
1096,REXR,Rexford Industrial Realty Inc,Real Estate,REIT - Industrial
1097,REYN,Reynolds Consumer Products Inc,Consumer Cyclical,Packaging & Containers
1098,REZI,Resideo Technologies Inc,Industrials,Industrial Distribution
1099,RF,Regions Financial Corp,Financial,Banks - Regional
1100,RGEN,Repligen Corp,Healthcare,Medical Instruments & Supplies
1101,RGLD,"Royal Gold, Inc",Basic Materials,Gold
1102,RGTI,Rigetti Computing Inc,Technology,Computer Hardware
1103,RH,RH,Consumer Cyclical,Specialty Retail
1104,RHI,Robert Half Inc,Industrials,Staffing & Employment Services
1105,RIG,Transocean Ltd,Energy,Oil & Gas Drilling
1106,RIO,Rio Tinto plc ADR,Basic Materials,Other Industrial Metals & Mining
1107,RIOT,Riot Platforms Inc,Financial,Capital Markets
1108,RITM,Rithm Capital Corporation,Real Estate,REIT - Mortgage
1109,RIVN,Rivian Automotive Inc,Consumer Cyclical,Auto Manufacturers
1110,RJF,"Raymond James Financial, Inc",Financial,Asset Management
1111,RKLB,Rocket Lab Corp,Industrials,Aerospace & Defense
1112,RKT,Rocket Companies Inc,Financial,Mortgage Finance
1113,RLI,RLI Corp,Financial,Insurance - Property & Casualty
1114,RLX,RLX Technology Inc ADR,Consumer Defensive,Tobacco
1115,RMBS,Rambus Inc,Technology,Semiconductors
1116,RMD,Resmed Inc,Healthcare,Medical Instruments & Supplies
1117,RNG,RingCentral Inc,Technology,Software - Application
1118,ROIV,Roivant Sciences Ltd,Healthcare,Biotechnology
1119,ROK,Rockwell Automation Inc,Industrials,Specialty Industrial Machinery
1120,ROKU,Roku Inc,Communication Services,Entertainment
1121,ROL,"Rollins, Inc",Consumer Cyclical,Personal Services
1122,ROP,Roper Technologies Inc,Technology,Software - Application
1123,ROST,"Ross Stores, Inc",Consumer Cyclical,Apparel Retail
1124,RPM,"RPM International, Inc",Basic Materials,Specialty Chemicals
1125,RPRX,Royalty Pharma plc,Healthcare,Biotechnology
1126,RRC,Range Resources Corp,Energy,Oil & Gas E&P
1127,RRX,Regal Rexnord Corp,Industrials,Specialty Industrial Machinery
1128,RSG,"Republic Services, Inc",Industrials,Waste Management
1129,RSI,Rush Street Interactive Inc,Consumer Cyclical,Gambling
1130,RTO,Rentokil Initial Plc. ADR,Industrials,Specialty Business Services
1131,RTX,RTX Corp,Industrials,Aerospace & Defense
1132,RUM,Rumble Inc,Communication Services,Internet Content & Information
1133,RUN,Sunrun Inc,Technology,Solar
1134,RVMD,Revolution Medicines Inc,Healthcare,Biotechnology
1135,RVTY,Revvity Inc,Healthcare,Diagnostics & Research
1136,RY,Royal Bank Of Canada,Financial,Banks - Diversified
1137,RYAAY,Ryanair Holdings Plc ADR,Industrials,Airlines
1138,RYAN,Ryan Specialty Holdings Inc,Financial,Insurance - Specialty
1139,RYN,Rayonier Inc,Real Estate,REIT - Specialty
1140,S,SentinelOne Inc,Technology,Software - Infrastructure
1141,SA,"Seabridge Gold, Inc",Basic Materials,Gold
1142,SAIL,Sailpoint Inc,Technology,Software - Infrastructure
1143,SAN,Banco Santander S.A. ADR,Financial,Banks - Diversified
1144,SANM,Sanmina Corp,Technology,Electronic Components
1145,SAP,Sap SE ADR,Technology,Software - Application
1146,SARO,StandardAero Inc,Industrials,Aerospace & Defense
1147,SATS,EchoStar Corp,Communication Services,Telecom Services
1148,SBAC,SBA Communications Corp,Real Estate,REIT - Specialty
1149,SBCF,Seacoast Banking Corp. Of Florida,Financial,Banks - Regional
1150,SBLK,Star Bulk Carriers Corp,Industrials,Marine Shipping
1151,SBRA,Sabra Healthcare REIT Inc,Real Estate,REIT - Healthcare Facilities
1152,SBS,Companhia de Saneamento Basico do Estado de Sao Paulo. ADR,Utilities,Utilities - Regulated Water
1153,SBSW,Sibanye Stillwater Limited ADR,Basic Materials,Other Precious Metals & Mining
1154,SBUX,Starbucks Corp,Consumer Cyclical,Restaurants
1155,SCCO,Southern Copper Corporation,Basic Materials,Copper
1156,SCHW,Charles Schwab Corp,Financial,Capital Markets
1157,SCI,Service Corp. International,Consumer Cyclical,Personal Services
1158,SDRL,Seadrill Ltd,Energy,Oil & Gas Drilling
1159,SE,Sea Ltd ADR,Consumer Cyclical,Internet Retail
1160,SEDG,Solaredge Technologies Inc,Technology,Solar
1161,SEE,Sealed Air Corp,Consumer Cyclical,Packaging & Containers
1162,SEI,Solaris Energy Infrastructure Inc,Energy,Oil & Gas Equipment & Services
1163,SEIC,SEI Investments Co,Financial,Asset Management
1164,SEM,Select Medical Holdings Corporation,Healthcare,Medical Care Facilities
1165,SEZL,Sezzle Inc,Financial,Credit Services
1166,SF,Stifel Financial Corp,Financial,Capital Markets
1167,SFD,"Smithfield Foods, Inc",Consumer Defensive,Packaged Foods
1168,SFM,Sprouts Farmers Market Inc,Consumer Defensive,Grocery Stores
1169,SFNC,Simmons First National Corp,Financial,Banks - Regional
1170,SGHC,Super Group (SGHC) Limited,Consumer Cyclical,Gambling
1171,SGI,Somnigroup International Inc,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
1172,SHAK,Shake Shack Inc,Consumer Cyclical,Restaurants
1173,SHC,Sotera Health Co,Healthcare,Diagnostics & Research
1174,SHEL,Shell Plc ADR,Energy,Oil & Gas Integrated
1175,SHOO,Steven Madden Ltd,Consumer Cyclical,Footwear & Accessories
1176,SHOP,Shopify Inc,Technology,Software - Application
1177,SHW,Sherwin-Williams Co,Basic Materials,Specialty Chemicals
1178,SIG,Signet Jewelers Ltd,Consumer Cyclical,Luxury Goods
1179,SIRI,Sirius XM Holdings Inc,Communication Services,Entertainment
1180,SJM,J.M. Smucker Co,Consumer Defensive,Packaged Foods
1181,SKE,Skeena Resources Ltd,Basic Materials,Other Industrial Metals & Mining
1182,SKM,SK Telecom Co Ltd ADR,Communication Services,Telecom Services
1183,SKT,Tanger Inc,Real Estate,REIT - Retail
1184,SLB,SLB Ltd,Energy,Oil & Gas Equipment & Services
1185,SLDE,Slide Insurance Holdings Inc,Financial,Insurance - Property & Casualty
1186,SLG,SL Green Realty Corp,Real Estate,REIT - Office
1187,SLGN,Silgan Holdings Inc,Consumer Cyclical,Packaging & Containers
1188,SLM,SLM Corp,Financial,Credit Services
1189,SM,SM Energy Co,Energy,Oil & Gas E&P
1190,SMCI,Super Micro Computer Inc,Technology,Computer Hardware
1191,SMFG,Sumitomo Mitsui Financial Group Inc ADR,Financial,Banks - Diversified
1192,SMG,Scotts Miracle-Gro Company,Basic Materials,Agricultural Inputs
1193,SMMT,Summit Therapeutics Inc,Healthcare,Biotechnology
1194,SMR,NuScale Power Corporation,Industrials,Specialty Industrial Machinery
1195,SMTC,Semtech Corp,Technology,Semiconductors
1196,SN,SharkNinja Inc,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
1197,SNAP,Snap Inc,Communication Services,Internet Content & Information
1198,SNDK,Sandisk Corp,Technology,Computer Hardware
1199,SNDR,Schneider National Inc,Industrials,Trucking
1200,SNDX,Syndax Pharmaceuticals Inc,Healthcare,Biotechnology
1201,SNN,Smith & Nephew plc ADR,Healthcare,Medical Devices
1202,SNOW,Snowflake Inc,Technology,Software - Application
1203,SNPS,"Synopsys, Inc",Technology,Software - Infrastructure
1204,SNX,TD Synnex Corp,Technology,Electronics & Computer Distribution
1205,SNY,Sanofi ADR,Healthcare,Drug Manufacturers - General
1206,SO,Southern Company,Utilities,Utilities - Regulated Electric
1207,SOBO,South Bow Corp,Energy,Oil & Gas Midstream
1208,SOC,Sable Offshore Corp,Energy,Oil & Gas Drilling
1209,SOFI,SoFi Technologies Inc,Financial,Credit Services
1210,SOLS,Solstice Advanced Materials Inc,Basic Materials,Specialty Chemicals
1211,SOLV,Solventum Corp,Healthcare,Medical Instruments & Supplies
1212,SON,Sonoco Products Co,Consumer Cyclical,Packaging & Containers
1213,SONY,Sony Group Corporation ADR,Technology,Consumer Electronics
1214,SOUN,SoundHound AI Inc,Technology,Software - Application
1215,SPG,"Simon Property Group, Inc",Real Estate,REIT - Retail
1216,SPGI,S&P Global Inc,Financial,Financial Data & Stock Exchanges
1217,SPHR,Sphere Entertainment Co,Communication Services,Entertainment
1218,SPOT,Spotify Technology S.A,Communication Services,Internet Content & Information
1219,SPSC,SPS Commerce Inc,Technology,Software - Application
1220,SQM,Sociedad Quimica Y Minera de Chile S.A. ADR,Basic Materials,Specialty Chemicals
1221,SRAD,Sportradar Group AG,Technology,Software - Application
1222,SRE,Sempra,Utilities,Utilities - Diversified
1223,SRRK,Scholar Rock Holding Corp,Healthcare,Biotechnology
1224,SSB,SouthState Bank Corp,Financial,Banks - Regional
1225,SSL,Sasol Ltd ADR,Basic Materials,Specialty Chemicals
1226,SSNC,SS&C Technologies Holdings Inc,Technology,Software - Application
1227,SSRM,SSR Mining Inc,Basic Materials,Gold
1228,ST,Sensata Technologies Holding Plc,Technology,Scientific & Technical Instruments
1229,STAG,STAG Industrial Inc,Real Estate,REIT - Industrial
1230,STE,Steris Plc,Healthcare,Medical Devices
1231,STEP,StepStone Group Inc,Financial,Asset Management
1232,STLA,Stellantis N.V,Consumer Cyclical,Auto Manufacturers
1233,STLD,Steel Dynamics Inc,Basic Materials,Steel
1234,STM,ST Microelectronics,Technology,Semiconductors
1235,STNE,StoneCo Ltd,Technology,Software - Infrastructure
1236,STNG,Scorpio Tankers Inc,Energy,Oil & Gas Midstream
1237,STRC,Strategy Inc. - VR PRF PERPETUAL USD 100 - Ser A,Technology,Software - Application
1238,STT,State Street Corp,Financial,Asset Management
1239,STUB,Stubhub Holdings Inc,Communication Services,Internet Content & Information
1240,STWD,Starwood Property Trust Inc,Real Estate,REIT - Mortgage
1241,STX,Seagate Technology Holdings Plc,Technology,Computer Hardware
1242,STZ,Constellation Brands Inc,Consumer Defensive,Beverages - Brewers
1243,SU,"Suncor Energy, Inc",Energy,Oil & Gas Integrated
1244,SUI,"Sun Communities, Inc",Real Estate,REIT - Residential
1245,SUNB,Sunbelt Rentals Holdings Inc,Industrials,Rental & Leasing Services
1246,SUZ,Suzano S.A. ADR,Basic Materials,Paper & Paper Products
1247,SVM,Silvercorp Metals Inc,Basic Materials,Silver
1248,SW,Smurfit WestRock plc,Consumer Cyclical,Packaging & Containers
1249,SWK,Stanley Black & Decker Inc,Industrials,Tools & Accessories
1250,SWKS,"Skyworks Solutions, Inc",Technology,Semiconductors
1251,SYF,Synchrony Financial,Financial,Credit Services
1252,SYK,Stryker Corp,Healthcare,Medical Devices
1253,SYM,Symbotic Inc,Industrials,Specialty Industrial Machinery
1254,SYY,Sysco Corp,Consumer Defensive,Food Distribution
1255,T,"AT&T, Inc",Communication Services,Telecom Services
1256,TAC,Transalta Corp,Utilities,Utilities - Independent Power Producers
1257,TAK,Takeda Pharmaceutical Co ADR,Healthcare,Drug Manufacturers - Specialty & Generic
1258,TAL,TAL Education Group ADR,Consumer Defensive,Education & Training Services
1259,TALO,Talos Energy Inc,Energy,Oil & Gas E&P
1260,TAP,Molson Coors Beverage Company,Consumer Defensive,Beverages - Brewers
1261,TCOM,Trip.com Group Ltd ADR,Consumer Cyclical,Travel Services
1262,TD,Toronto Dominion Bank,Financial,Banks - Diversified
1263,TDC,Teradata Corp,Technology,Software - Infrastructure
1264,TDS,"Telephone And Data Systems, Inc",Communication Services,Telecom Services
1265,TDW,Tidewater Inc,Energy,Oil & Gas Equipment & Services
1266,TE,T1 Energy Inc,Industrials,Electrical Equipment & Parts
1267,TEAM,Atlassian Corporation,Technology,Software - Application
1268,TECH,Bio-Techne Corp,Healthcare,Biotechnology
1269,TECK,Teck Resources Ltd,Basic Materials,Other Industrial Metals & Mining
1270,TEL,TE Connectivity plc,Technology,Electronic Components
1271,TEM,Tempus AI Inc,Healthcare,Health Information Services
1272,TENB,Tenable Holdings Inc,Technology,Software - Infrastructure
1273,TER,"Teradyne, Inc",Technology,Semiconductor Equipment & Materials
1274,TERN,Terns Pharmaceuticals Inc,Healthcare,Biotechnology
1275,TEVA,Teva- Pharmaceutical Industries Ltd. ADR,Healthcare,Drug Manufacturers - Specialty & Generic
1276,TEX,Terex Corp,Industrials,Farm & Heavy Construction Machinery
1277,TFC,Truist Financial Corporation,Financial,Banks - Regional
1278,TFSL,TFS Financial Corporation,Financial,Banks - Regional
1279,TFX,Teleflex Incorporated,Healthcare,Medical Instruments & Supplies
1280,TGB,Taseko Mines Ltd,Basic Materials,Copper
1281,TGNA,TEGNA Inc,Communication Services,Broadcasting
1282,TGT,Target Corp,Consumer Defensive,Discount Stores
1283,TGTX,TG Therapeutics Inc,Healthcare,Biotechnology
1284,THC,Tenet Healthcare Corp,Healthcare,Medical Care Facilities
1285,TIGO,Millicom International Cellular S.A,Communication Services,Telecom Services
1286,TJX,"TJX Companies, Inc",Consumer Cyclical,Apparel Retail
1287,TKC,Turkcell Iletisim Hizmetleri A.S. ADR,Communication Services,Telecom Services
1288,TKO,TKO Group Holdings Inc,Communication Services,Entertainment
1289,TKR,Timken Co,Industrials,Tools & Accessories
1290,TLN,Talen Energy Corp,Utilities,Utilities - Independent Power Producers
1291,TMC,TMC the metals company Inc,Basic Materials,Other Industrial Metals & Mining
1292,TMDX,Transmedics Group Inc,Healthcare,Medical Devices
1293,TME,Tencent Music Entertainment Group ADR,Communication Services,Internet Content & Information
1294,TMHC,Taylor Morrison Home Corp,Consumer Cyclical,Residential Construction
1295,TMO,Thermo Fisher Scientific Inc,Healthcare,Diagnostics & Research
1296,TMUS,T-Mobile US Inc,Communication Services,Telecom Services
1297,TNGX,Tango Therapeutics Inc,Healthcare,Biotechnology
1298,TOL,Toll Brothers Inc,Consumer Cyclical,Residential Construction
1299,TOST,Toast Inc,Technology,Software - Infrastructure
1300,TPG,TPG Inc,Financial,Asset Management
1301,TPH,Tri Pointe Homes Inc,Consumer Cyclical,Residential Construction
1302,TPR,Tapestry Inc,Consumer Cyclical,Luxury Goods
1303,TREX,"TREX Co., Inc",Industrials,Building Products & Equipment
1304,TRGP,Targa Resources Corp,Energy,Oil & Gas Midstream
1305,TRI,Thomson-Reuters Corp,Industrials,Specialty Business Services
1306,TRMB,Trimble Inc,Technology,Scientific & Technical Instruments
1307,TRN,"Trinity Industries, Inc",Industrials,Railroads
1308,TROW,T. Rowe Price Group Inc,Financial,Asset Management
1309,TRP,TC Energy Corporation,Energy,Oil & Gas Midstream
1310,TRU,TransUnion,Financial,Financial Data & Stock Exchanges
1311,TRV,Travelers Companies Inc,Financial,Insurance - Property & Casualty
1312,TS,Tenaris S.A. ADR,Energy,Oil & Gas Equipment & Services
1313,TSCO,Tractor Supply Co,Consumer Cyclical,Specialty Retail
1314,TSEM,Tower Semiconductor Ltd,Technology,Semiconductors
1315,TSLA,Tesla Inc,Consumer Cyclical,Auto Manufacturers
1316,TSM,Taiwan Semiconductor Manufacturing ADR,Technology,Semiconductors
1317,TSN,"Tyson Foods, Inc",Consumer Defensive,Farm Products
1318,TT,Trane Technologies plc,Industrials,Building Products & Equipment
1319,TTAN,ServiceTitan Inc,Technology,Software - Application
1320,TTC,Toro Co,Industrials,Tools & Accessories
1321,TTD,Trade Desk Inc,Communication Services,Advertising Agencies
1322,TTE,TotalEnergies SE,Energy,Oil & Gas Integrated
1323,TTEK,"Tetra Tech, Inc",Industrials,Engineering & Construction
1324,TTMI,TTM Technologies Inc,Technology,Electronic Components
1325,TTWO,"Take-Two Interactive Software, Inc",Communication Services,Electronic Gaming & Multimedia
1326,TU,Telus Corp,Communication Services,Telecom Services
1327,TVTX,Travere Therapeutics Inc,Healthcare,Biotechnology
1328,TW,Tradeweb Markets Inc,Financial,Capital Markets
1329,TWLO,Twilio Inc,Technology,Software - Infrastructure
1330,TWST,Twist Bioscience Corp,Healthcare,Diagnostics & Research
1331,TXG,10x Genomics Inc,Healthcare,Health Information Services
1332,TXN,Texas Instruments Inc,Technology,Semiconductors
1333,TXNM,TXNM Energy Inc,Utilities,Utilities - Regulated Electric
1334,TXRH,Texas Roadhouse Inc,Consumer Cyclical,Restaurants
1335,TXT,Textron Inc,Industrials,Aerospace & Defense
1336,U,Unity Software Inc,Technology,Software - Application
1337,UA,Under Armour Inc,Consumer Cyclical,Apparel Manufacturing
1338,UAA,Under Armour Inc,Consumer Cyclical,Apparel Manufacturing
1339,UAL,United Airlines Holdings Inc,Industrials,Airlines
1340,UBER,Uber Technologies Inc,Technology,Software - Application
1341,UBS,UBS Group AG,Financial,Banks - Diversified
1342,UBSI,"United Bankshares, Inc",Financial,Banks - Regional
1343,UCB,United Community Banks Inc,Financial,Banks - Regional
1344,UCTT,Ultra Clean Hldgs Inc,Technology,Semiconductor Equipment & Materials
1345,UDR,UDR Inc,Real Estate,REIT - Residential
1346,UE,Urban Edge Properties,Real Estate,REIT - Retail
1347,UEC,Uranium Energy Corp,Energy,Uranium
1348,UGI,UGI Corp,Utilities,Utilities - Regulated Gas
1349,UGP,Ultrapar Participacoes S.A. ADR,Energy,Oil & Gas Refining & Marketing
1350,UHS,"Universal Health Services, Inc",Healthcare,Medical Care Facilities
1351,UL,Unilever plc ADR,Consumer Defensive,Household & Personal Products
1352,ULS,UL Solutions Inc,Industrials,Specialty Business Services
1353,UMC,United Micro Electronics ADR,Technology,Semiconductors
1354,UNFI,United Natural Foods Inc,Consumer Defensive,Food Distribution
1355,UNH,Unitedhealth Group Inc,Healthcare,Healthcare Plans
1356,UNM,Unum Group,Financial,Insurance - Life
1357,UNP,Union Pacific Corp,Industrials,Railroads
1358,UPS,"United Parcel Service, Inc",Industrials,Integrated Freight & Logistics
1359,UPST,Upstart Holdings Inc,Financial,Credit Services
1360,URBN,"Urban Outfitters, Inc",Consumer Cyclical,Apparel Retail
1361,USAR,USA Rare Earth Inc,Basic Materials,Other Industrial Metals & Mining
1362,USAS,Americas Gold and Silver Corp,Basic Materials,Other Industrial Metals & Mining
1363,USB,U.S. Bancorp,Financial,Banks - Regional
1364,USFD,US Foods Holding Corp,Consumer Defensive,Food Distribution
1365,UUUU,Energy Fuels Inc,Energy,Uranium
1366,UWMC,UWM Holdings Corporation,Financial,Mortgage Finance
1367,V,Visa Inc,Financial,Credit Services
1368,VAL,Valaris Ltd,Energy,Oil & Gas Equipment & Services
1369,VALE,Vale S.A. ADR,Basic Materials,Other Industrial Metals & Mining
1370,VCYT,Veracyte Inc,Healthcare,Diagnostics & Research
1371,VEEV,Veeva Systems Inc,Healthcare,Health Information Services
1372,VERA,Vera Therapeutics Inc,Healthcare,Biotechnology
1373,VERX,Vertex Inc,Technology,Software - Application
1374,VFC,VF Corp,Consumer Cyclical,Apparel Manufacturing
1375,VG,Venture Global Inc,Energy,Oil & Gas Midstream
1376,VIAV,Viavi Solutions Inc,Technology,Communication Equipment
1377,VICI,VICI Properties Inc,Real Estate,REIT - Diversified
